Nome,Localidade,Tipo_inferido,Min_meses,Max_meses,Confianca,Telefone_status,Telefone_orig,Email,Lat,Lon
O Cantinho da Cegonha,Sacavém,Infantário,4,72,Verificar,SEM_TEL,,,38.790122,-9.108065
Bebé Sol,,Infantário,4,72,Verificar,SEM_TEL,,,38.690521,-9.337813
Creche - Jardim de Infância 25 de Abril (AIPICA),Almada,Infantário,4,72,Alta,OK,+351 212757713,aipica1@sapo.pt,38.682516,-9.153325
Jardim de Infância da Associação de Solidariedade e Desenvolvimento do Laranjeiro,Almada,JI,36,72,Alta,OK,+351 212583934,geral@asdl.pt,38.65161,-9.154436
CEAS - Centro Educativo e Apoio Social (Casa Pia de Lisboa),Caparica,Infantário,4,72,Verificar,OK,+351 212947080,ana.longle@casapia.pt,38.665541,-9.188187
Creche e Jardim de Infância do Pão de Açucar (AIPICA),Almada,Infantário,4,72,Alta,OK,+351 212756427,aipica1@sapo.pt,38.668247,-9.164651
Creche e Jardim Infantil Popular do Castelo (AIPICA),Almada,Infantário,4,72,Alta,OK,+351 212757403,aipica1@sapo.pt,38.68421,-9.153797
Jardim Infantil do Pombal (AIPICA),Almada,JI,36,72,Alta,OK,+351 212754490,aipica1@sapo.pt,38.67631,-9.160358
Centro Social Paroquial Padre Ricardo Gameiro - S. Simão,Almada,Infantário,4,72,Verificar,OK,+351 212720140,infor@cparoquial-covapiedade.pt,38.67049,-9.165229
Centro Comunitário Pia I,Caparica,Infantário,4,72,Verificar,OK,+351 212956453,dtcgoncalves@scma.pt,38.669388,-9.192898
Jardim Infantil do Centro Paroquial de Almada,Almada,JI,36,72,Alta,OK,+351 212731313,geral@centroparoquial-almada.pt,38.680755,-9.158581
Centro Social e Paroquial Cristo Rei,Caparica,Infantário,4,72,Verificar,OK,+351 212942944,csp-cristorei@net.novis.pt,38.666428,-9.184542
Centro Infantil da Trafaria,Trafaria,Infantário,4,72,Alta,OK,+351 212919500,informacoestrafaria@scma.pt,38.66942,-9.239228
Jardim Infantil Centro Paroquial Bem Estar Social de Cacilhas,Almada,JI,36,72,Alta,OK,+351 212754455,cpcacilhas@sapo.pt,38.687244,-9.150232
Jardim Infantil Bento Gonçalves (AIPICA),Almada,JI,36,72,Alta,OK,+351 212591961,aipica1@sapo.pt,38.659275,-9.160745
Jardim Infantil Ninho 3,Almada,JI,36,72,Alta,OK,+351 212879560,ana.pinto@estradasdeportugal.pt,38.676895,-9.176077
Centro Comunitário Promoção Social Feijó e Laranjeiro,Almada,Infantário,4,72,Verificar,OK,+351 212591297,ccp_slf@mail.telepac.pt,38.65544,-9.160692
Centro da Actividades e Tempos Livres do Raposo (AIPICA),Almada,ATL,72,144,Alta,OK,+351 212951324,aipica1@sapo.pt,38.666096,-9.19124
O Cantinho da Brincadeira,Almada,Infantário,4,72,Verificar,OK,+351 212553938,cantinhodabrincadeiralda@gmail.com,38.65337,-9.148773
Externato O Pinguim,Almada,Infantário,4,72,Verificar,OK,+351 212592309,o_pinguim@hotmail.com,38.654057,-9.161294
Jardim de Infância A Cidade da Brincadeira,Cacilhas,JI,36,72,Alta,OK_MULTI,+351 966631807;+351 212761823,cidade.brincadeira@gmail.com,38.68611,-9.150214
Atrium 7,Almada,Desconhecido,4,72,Verificar,OK,+351 212500772,,38.655037,-9.160234
Jardim Escola Natel,Almada,JI,36,72,Alta,OK,+351 964045309,mariazegreamorim@hotmail.com,38.66595,-9.156755
Externato O Baloiço,Almada,Infantário,4,72,Verificar,OK,+351 212592686,geral@obaloico.pt,38.657479,-9.153056
Jardim Infantil C. Paroq. Bem-Estar Social Corroios,Corroios,JI,36,72,Alta,OK,+351 212531289,cpsfamilia@gmail.com,38.653282,-9.144441
Jardim Infantil Palmo e Meio,Corroios,JI,36,72,Alta,OK,+351 212537243,ana.gomes91@hotmail.com,38.65056,-9.144209
Jardim Infancia De Cacilhas,Almada,Desconhecido,4,72,Verificar,SEM_TEL,,,38.680782,-9.150571
Creche O Mestre Cuco,Almada,Creche,4,36,Alta,SEM_TEL,,,38.67141,-9.168214
"Creche ""Pequenos Índios""",Lisboa,Creche,4,36,Alta,OK,+351 210995474,,38.748964,-9.168244
"Creche Jardim De Infáncia E Atl, Fitares",,Infantário,4,72,Alta,SEM_TEL,,,38.786313,-9.314659
"Jardim de Infância ""Pinóquio""",,JI,36,72,Alta,SEM_TEL,,,38.700841,-9.233529
"Colégio ""Quintinha da Fidalga""",Agualva-Cacém,Infantário,4,72,Verificar,OK,+351 219120162,,38.772754,-9.301473
Colégio das Colinas,Odivelas,Infantário,4,72,Verificar,OK,+351 219 349 730,cl.colinas@escolas.min-edu.pt,38.787789,-9.188374
"Externato Infantil ""O Nosso Jardim""",Lisboa,Infantário,4,72,Verificar,OK,+351 213901658,infantil@onossojardim.com,38.709841,-9.151504
N´Avozinha,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.724526,-9.148347
N´Avozinha,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.724411,-9.148622
Academia dos Miúdos,Lisboa,Infantário,4,144,Verificar,OK,+351 217740126,secretaria@academiadosmiudos.pt,38.747858,-9.185424
"Associação de Pais e Técnicos do Infantário ""Pedrita""",Lisboa,Infantário,4,72,Alta,OK,+351 217154701,ji.pedrita@escolas.min-edu.pt,38.749686,-9.194034
ADECO,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.714904,-9.149078
Jardim Da Fantasia,,Infantário,4,72,Verificar,SEM_TEL,,,38.725544,-9.145561
Jardim de Infância Academia dos Peixinhos,Odivelas,JI,36,72,Alta,OK,+351 219 339 754,geral@academiadospeixinhos.pt;ji.academiadospeixinhos@escolas.min-edu.pt,38.791809,-9.19366
Jardim de Infância n.º 2 de Verderena,Barreiro,JI,36,72,Alta,OK,+351 212170745,jin2verderena@aebarreiro.pt,38.654717,-9.073035
Os Trombinhas,Odivelas,Desconhecido,4,72,Verificar,OK,+351 219 325 522,,38.795861,-9.175299
Os Ilustres,Odivelas,Desconhecido,4,72,Verificar,OK,+351 219 322 818,,38.79289,-9.190089
Colégio A Sandrinha,Pontinha,Infantário,4,72,Verificar,OK_MULTI,+351 214 785 124;+351 965 762 180;+351 961 585 737,colegiosandrinha@gmail.com;ji.sandrinhapontinha@escolas.min-edu.pt,38.784943,-9.21539
Jardim Infantil O Pónei,Odivelas,JI,36,72,Alta,OK,+351 219 329 690,oponei@escolas.min-edu.pt,38.795749,-9.184288
Jardim de Infância Timena,Odivelas,JI,36,72,Alta,OK,+351 219 324 389,ji.timena@escolas.min-edu.pt,38.791131,-9.179778
Jardim de Infância Pipos & Bibas,Odivelas,JI,36,72,Alta,OK,+351 219 322 528,,38.788118,-9.188591
Jardim de Infância O Alicerce,Odivelas,JI,36,72,Alta,SEM_TEL,,ji.oalicerce@escolas.min-edu.pt,38.797642,-9.191691
Colégio O Bom Principezinho,Odivelas,Infantário,4,72,Verificar,OK,+351 961 591 452,creche@obomprincipezinho.pt,38.789674,-9.194623
Creche Colinas do Cruzeiro e Jardim de Infância,Odivelas,Infantário,4,72,Alta,OK_MULTI,+351 219 313 170;+351 914 744 281,,38.791728,-9.189933
Externato Jardim do Sol,Odivelas,Infantário,4,72,Verificar,OK,+351 219 334 084,ext.jardimsol@escolas.min-edu.pt,38.794166,-9.19485
"Colégio ""Cantinho das Alfazemas""",Lisboa,Infantário,4,72,Verificar,OK_MULTI,+351 215 900 211;+351 918 225 051,geral@colegiocantinhodasalfazemas.com,38.760871,-9.095147
Jardim de Infância Dom João II,Lisboa,JI,36,72,Alta,OK,+351 213888572,ji.djoaoii@escolas.min-edu.pt,38.718768,-9.165771
caselsol,,Desconhecido,4,72,Verificar,SEM_TEL,,,38.718032,-9.21087
Centro de Acolhimento Infantil do Bairro Padre Cruz,Lisboa,Infantário,4,72,Verificar,OK,+351 217124220,cai.padrecruz@scml.pt,38.772356,-9.189217
Os Pirralhos do Marquês,Lisboa,Desconhecido,4,72,Verificar,OK,+351 213867639,ji.ospirralhosdomarques@escolas.min-edu.pt,38.723137,-9.153214
Centro Social do Sagrado Coração de Jesus,Lisboa,Infantário,4,72,Verificar,OK_MULTI,+351 213902112;+351 938855204,cs.scoracaojesus@escolas.min-edu.pt,38.708292,-9.161604
"Jardim de Infância ""Sol Dourado""",Rio de Mouro,JI,36,72,Alta,OK_MULTI,+351 210937980;+351 926774092,ext.soldourado@escolas.min-edu.pt,38.747097,-9.343312
Jardim de Infância da Belourinha,Sintra,JI,36,72,Alta,OK,+351 219108040,belourinha@escolas.min-edu.pt;secretaria@colegiodabeloura.pt,38.77226,-9.377237
"Jardim de Infância ""Os Meus Amigos""",Cacém,JI,36,72,Alta,OK,+351 219141490,colegioosamigos@gmail.com;margaridagomescolegio@gmail.com,38.772468,-9.310448
"Jardim Infantil ""O Palhaço Alegre""",Rio de Mouro,JI,36,72,Alta,OK,+351 219164958,ji.opalhacoalegre@escolas.min-edu.pt,38.787126,-9.32235
"Jardim de Infância ""Maçã Azul""",Mem Martins,JI,36,72,Alta,OK,+351 219208179,,38.791809,-9.330301
Jardim de Infância do Centro Paroquial do Estoril,Estoril,JI,36,72,Alta,OK,+351 214686767,ji.cpestoril@escolas.min-edu.pt,38.709811,-9.387349
Jardim de Infância do Centro de Apoio à Criança,Agualva-Cacém,JI,36,72,Alta,OK,+351 219142607,cac.mirasintra@gmail.com,38.785728,-9.305174
Jardim de Infância do Centro de Apoio à Criança,Agualva-Cacém,JI,36,72,Alta,OK,+351 219142607,cac.mirasintra@gmail.com,38.785936,-9.304882
Jardim Infantil do Centro Social e Paroquial de Mira Sintra,Agualva-Cacém,JI,36,72,Alta,OK_MULTI,+351 219185382;+351 963821150,ji.cspmirasintra@escolas.min-edu.pt,38.784192,-9.30593
"Jardim de Infância ""Cosme e Damião""",Rio de Mouro,JI,36,72,Alta,OK_MULTI,+351 961 391 942;+351 219 197 214;+351 219 197 213;+351 962 428 342,ji.cosmeedamiao@escolas.min-edu.pt,38.781377,-9.315467
"Jardim de Infância ""Bem-Me-Quer""",Rio de Mouro,JI,36,72,Alta,OK,+351 219161741,ji.bemmequer@escolas.min-edu.pt,38.780726,-9.322926
"Colégio ""Os Filhotes""",Porto Salvo,Infantário,4,72,Verificar,OK,+351 214212619,cl.osfilhotes@escolas.min-edu.pt,38.723077,-9.304429
Jardim de Infância António Pinheiro Pinto Basto,Belas,JI,36,72,Alta,OK,+351 214310300,ji.pbastoctassocial@escolas.min-edu.pt,38.779104,-9.263417
"Jardim de Infância ""O Farol""",Queluz,JI,36,72,Alta,OK,+351 214371506,ofarolmassama@escolas.min-edu.pt,38.751428,-9.28156
Jardim de Infância da Associação de Solidariedade e Amizade Casal de Cambra,Casal de Cambra,JI,36,72,Alta,OK,+351 219809830,solami@solami.org,38.799449,-9.236455
"Jardim Infantil ""O Girassol Dourado""",Queluz,JI,36,72,Alta,OK,+351 214377338,ji.ogirassoldourado@escolas.min-edu.pt,38.757262,-9.267412
"Colégio ""O Teu Jardim""",Queluz,Infantário,4,72,Verificar,OK,+351 214390126,cl.oteujardim@escolas.min-edu.pt,38.764775,-9.262454
Tesouros e Aventuras,Queluz,Desconhecido,4,72,Verificar,OK,+351 214392918,tesouroseaventuras@gmail.com,38.759319,-9.256589
"Jardim de Infância ""Caíque""",Queijas,JI,36,72,Alta,OK,+351 214171150,ji.caique@escolas.min-edu.pt,38.72394,-9.262554
"Externato ""Marité""",Amadora,Infantário,4,72,Verificar,OK,+351 214932831,ext.marite@escolas.min-edu.pt,38.761809,-9.237496
"Jardim Infantil ""O Caracol Pimpão""",Amadora,JI,36,72,Alta,OK,+351 214937104,ji.ocaracolpimpao@escolas.min-edu.pt,38.760547,-9.241257
"Jardim de Infância ""Casal dos Sonhos""",Amadora,JI,36,72,Alta,SEM_TEL,,,38.7609,-9.225624
"Externato ""Modelo""",Amadora,Infantário,4,72,Verificar,OK,+351 214959194,ext.modelo@escolas.min-edu.pt,38.750213,-9.223551
Jardim de Infância do Casal Popular da Damaia,Amadora,JI,36,72,Alta,OK,+351 214906090,ji.associalvencer@escolas.min-edu.pt,38.745308,-9.225096
"Colégio ""Pequenos Sorrisos""",Amadora,Infantário,4,72,Verificar,INVALIDO,+351 309968500,pequenosorriso@netcabo.pt,38.766511,-9.238924
"Jardim de Infância ""Estrelas de Luz""",Amadora,JI,36,72,Alta,OK_MULTI,+351 214930638;+351 963925114,geral@estrelasdeluz.pt,38.767238,-9.237915
"Jardim Infantil ""O Finório""",Amadora,JI,36,72,Alta,OK_MULTI,+351 214945604;+351 916073917,ji.ofinorio@escolas.min-edu.pt,38.768154,-9.229799
"Jardim de Infância ""Escolinha 7""",Amadora,JI,36,72,Alta,OK,+351 935114271,,38.767542,-9.22799
Jardim de Infância n.º 2 da Brandoa,Amadora,JI,36,72,Alta,OK,+351 214757281,ji.n2.brandoa@escolas.min-edu.pt,38.7691,-9.218691
Jardim de Infância do Centro Comunitário Paroquial de Famões,Odivelas,JI,36,72,Alta,OK,+351 214 009 043,direccao@ccparoquial-famoes.com,38.795191,-9.179124
"Jardim de Infância ""O Nosso Recreio""",Odivelas,JI,36,72,Alta,OK,+351 219333810,ji.epodivelas@escolas.min-edu.pt,38.787244,-9.191347
"Jardim de Infância ""Boneca de Corda""",Odivelas,JI,36,72,Alta,OK,+351 219446086,bonecadecorda@gmail.com,38.798206,-9.173623
Pequenos e Divertidos,Odivelas,Desconhecido,4,72,Verificar,OK,+351 210999409,,38.788462,-9.17531
Jardim de Infância da Quinta de São José,Sacavém,JI,36,72,Alta,OK,+351 219419218,ji.n1.sacavem@escolas.min-edu.pt,38.793524,-9.111962
"Centro Infantil ""Golfinho Saltitão""",Algés,Infantário,4,72,Alta,OK,+351 210138886,golfinhosaltitao@sapo.pt,38.708465,-9.229696
Jardim de Infância do Centro Social Paroquial Nossa Senhora do Cabo de Linda-a-Velha,Linda a Velha,JI,36,72,Alta,OK,+351 214157610,ji.csparoqnsracabo@escolas.min-edu.pt,38.712226,-9.239901
"Creche com Berçário ""Fraldinhas e Travessuras""",Amadora,Creche,4,36,Alta,OK,+351 214714867,fraldinhastravessuras@gmail.com,38.736083,-9.212102
Abrigo Infantil de Santa Maria de Belém,Lisboa,Infantário,4,72,Verificar,OK,+351 213634242,ainfantilstambelem@escolas.min-edu.pt,38.698238,-9.204573
"Jardim Infantil ""Chiquinha""",Lisboa,JI,36,72,Alta,OK,+351 213639137,ji.chiquinha@escolas.min-edu.pt,38.706965,-9.187764
Jardim de Infância do Centro Social da Musgueira,Lisboa,JI,36,72,Alta,OK,+351 217591775,,38.777158,-9.154415
Jardim de Infância da Associação Vida Cristã Filadélfia,Lisboa,JI,36,72,Alta,OK,+351 219488960,ass.vcfiladelfia@escolas.min-edu.pt,38.783053,-9.148888
Jardim de Infância do Centro de Assistência Social Infantil da Charneca do Lumiar,Lisboa,JI,36,72,Alta,OK,+351 217590385,ct.ainfantilcharneca@escolas.min-edu.pt,38.783403,-9.143728
"Jardim de Infância ""A Mãe Canguru""",Prior Velho,JI,36,72,Alta,OK,+351 936171792,ji.amaecanguru@escolas.min-edu.pt,38.791938,-9.122937
"Jardim de Infância ""Majari""",Lisboa,JI,36,72,Alta,OK,+351 217551838,ji.masari@escolas.min-edu.pt,38.789961,-9.157312
Jardim dos Pipocas,Lisboa,Desconhecido,4,72,Verificar,OK_MULTI,+351 214037441;+351 967424982,crecheospipoquinhas@gmail.com,38.762194,-9.179874
Jardim de Infância do Centro Social Paroquial de Carnide,Lisboa,JI,36,72,Alta,OK,+351 217112520,csp.carnide@escolas.min-edu.pt,38.760114,-9.191339
Chuva de Papel,Lisboa,Desconhecido,4,72,Verificar,OK,+351 217550483,,38.763428,-9.163458
Jardim de Infância do Centro Paroquial de São Domingos de Benfica,Lisboa,JI,36,72,Alta,OK,+351 217221350,direccao@sdomingos.net,38.741573,-9.173258
"Externato ""A Caravela""",Lisboa,Infantário,4,72,Verificar,OK,+351 217261742,ext.acaravela@escolas.min-edu.pt,38.755671,-9.177969
Creche e Aparece,Lisboa,Creche,4,36,Alta,OK,+351 214066474,,38.769813,-9.096383
Jardim Infantil do Bairro das Laranjeiras,Lisboa,JI,36,72,Alta,OK,+351 218509030,,38.771077,-9.100898
"Jardim Infantil ""Espaço Júnior""",Moscavide,JI,36,72,Alta,OK,+351 219 441 440,ji.assvidaabundante@escolas.min-edu.pt,38.776764,-9.104826
Creche Popular de Moscavide,Moscavide,Creche,4,36,Alta,OK,+351 219446086,geral@crevide.pt,38.778727,-9.10417
A Mamã Coelha,Moscavide,Desconhecido,4,72,Verificar,OK,+351 219446004,,38.778977,-9.104548
"Jardim Infantil ""Beloquitas""",Lisboa,JI,36,72,Alta,OK,+351 213637327,ji.beloquitas@escolas.min-edu.pt,38.705744,-9.177316
"Externato Infantil ""A Candeia Encantada""",Lisboa,Infantário,4,72,Verificar,OK,+351 218498851,ext.acandeia@escolas.min-edu.pt,38.742087,-9.134821
Escola Montessori São Lourenço,Lisboa,Infantário,4,72,Verificar,OK,+351 215834088,montessorischoolsl@gmail.com;oateliermontessori@gmail.com,38.743865,-9.159861
Jardim Infantil João Paulo II,Lisboa,JI,36,72,Alta,OK,+351 217934161,ji.joaopauloiilisboa@escolas.min-edu.pt,38.748615,-9.152621
Jardim de Infância do Centro Social Paroquial de São João de Brito,Lisboa,JI,36,72,Alta,OK,+351 218405731,geral@cpsjbrito.com,38.755574,-9.137993
Jardim de Infância da Fundação Adolfo Vieira de Brito,Lisboa,JI,36,72,Alta,OK,+351 218435020,fadolfovieirabrito@escolas.min-edu.pt,38.754419,-9.132471
Jardim de Infância do Centro Social José Luís Coelho,Lisboa,JI,36,72,Alta,OK,+351 213977927,ji.cscasalventoso@escolas.min-edu.pt,38.717294,-9.173177
Jardim de Infância do Centro Social e Paroquial de São Francisco de Paula,Lisboa,JI,36,72,Alta,OK,+351 213965210,ji.cspsaofranciscodepaula@escolas.min-edu.pt,38.706927,-9.171277
Jardim de Infância do Centro Paroquial de Bem Estar Social de Alfama,LISBOA,JI,36,72,Alta,OK,+351 218875045,cp.bemestaralfama@escolas.min-edu.pt,38.711728,-9.128507
Casa da Infância de Santana,Lisboa,Infantário,4,72,Verificar,OK,+351 218802038,ji.santanalisboa@escolas.min-edu.pt,38.719411,-9.139867
Jardim de Infância do Patronato Cristo-Rei,Lisboa,JI,36,72,Alta,OK,+351 213960402,ji.pcristorei@escolas.min-edu.pt,38.710177,-9.160552
Casa Pastorinhos de Fátima,Lisboa,Infantário,4,72,Verificar,OK,+351 213961124,apsantosovelho@escolas.min-edu.pt,38.706122,-9.158883
Jardim Infantil do Centro de Bem Estar Infantil das Janelas Verdes,Lisboa,JI,36,72,Alta,OK,+351 213905789,,38.704677,-9.163481
Parque Infantil de Santa Catarina,Lisboa,Infantário,4,72,Verificar,OK,+351 213261530,pinfantilstacatarina@escolas.min-edu.pt,38.711146,-9.148476
Escola no Chiado,Lisboa,Desconhecido,4,72,Verificar,OK,+351 213467248,ji.cspnsraencarnacao@escolas.min-edu.pt,38.717428,-9.14706
Jardim de Infância António José de Almeida,Lisboa,JI,36,72,Alta,SEM_TEL,,ji.ajosealmeida@escolas.min-edu.pt,38.738281,-9.140269
"Externato ""Santa Teresinha de Lisieux""",Lisboa,Infantário,4,72,Verificar,OK,+351 217963533,ext.stdelisieux@escolas.min-edu.pt,38.73877,-9.142826
"Centro Infantil ""Visconde de Valmor""",Lisboa,Infantário,4,72,Alta,OK,+351 217979627,,38.738009,-9.148821
Infantário Popular Ribeiro dos Santos,Lisboa,Infantário,4,72,Alta,OK,+351 218121429,ass.pribeirosantos@escolas.min-edu.pt,38.727572,-9.134562
Jardim de Infância do Centro Social Paroquial Nossa Senhora da Penha de França,Lisboa,JI,36,72,Alta,OK,+351 218133638,ji.csppenhafranca@escolas.min-edu.pt,38.727033,-9.125921
Só Bebés,,Infantário,4,72,Verificar,OK,+351217540813,,38.759258,-9.170126
Saídos da Casca,Lisboa,Desconhecido,4,72,Verificar,OK,+351217550290,,38.758682,-9.170981
Instituto Português De Pedagogia Infantil,Póvoa de Santo Adrião,Infantário,4,72,Verificar,OK,+351 219 371 527,it.ppinfantil@escolas.min-edu.pt,38.797553,-9.164262
"Creche e Jardim de Infância ""Pingolé""",Porto Salvo,Infantário,4,72,Alta,OK,+351 214214289,ji.pingole@escolas.min-edu.pt,38.717984,-9.292008
Jardim de Infância da Associação do Pessoal do Instituto Superior Técnico,Lisboa,JI,36,72,Alta,OK,+351 218417314,ji.apistecnico@escolas.min-edu.pt,38.735822,-9.139429
Creche do Bairro do Armador,,Creche,4,36,Alta,SEM_TEL,,,38.745849,-9.12086
Centro de Educação Pré-Escolar dos Serviços de Ação Social da Universidade Nova de Lisboa,Caparica,JI,36,72,Alta,OK,+351 212948308,ji.ipdsccaparica@escolas.min-edu.pt,38.662074,-9.204196
Jardim de Infância da Associação Popular do Lumiar,Lumiar,JI,36,72,Alta,OK,+351 217580137,ass.popularlumiar@escolas.min-edu.pt,38.775078,-9.162363
Jardim de Infância de Murches,Alcabideche,JI,36,72,Alta,OK,+351 214 850 659,ji.murches@escolas.min-edu.pt,38.736573,-9.439263
Colégio Moderno,,Infantário,4,72,Verificar,SEM_TEL,,,38.753402,-9.154249
Jardim de Infância de Alvalade,,JI,36,72,Alta,SEM_TEL,,,38.747555,-9.13583
"Jardim de Infância Roberto Ivens, Dafundo, Oeiras",CRUZ QUEBRADA-DAFUNDO,JI,36,72,Alta,OK,+351 214 198 080,eb1.dafundo@escolas.min-edu.pt,38.700385,-9.249566
Jardim de Infância do Centro Social Paroquial da Brandoa,Amadora,JI,36,72,Alta,OK,+351 214740460,ji.cspbrandoa@escolas.min-edu.pt,38.766925,-9.219833
Infantário Popular de Sintra,,Infantário,4,72,Alta,SEM_TEL,,,38.799467,-9.375582
Jardim de Infância 1.º de Maio,Carnaxide,JI,36,72,Alta,OK,+351 214180657,cre.1demaio@escolas.min-edu.pt,38.72721,-9.242743
Jardim de Infância Luísa Ducla Soares,Algés,JI,36,72,Alta,OK,+351 214 107 056,ji.mirafloresalges@escolas.min-edu.pt,38.707747,-9.22598
"Jardim de Infância ""O Botãozinho""",Parede,JI,36,72,Alta,OK,+351 214588520,ji.obotaozinho@escolas.min-edu.pt,38.683365,-9.344394
Creche e Jardim De Infância Ramalha,Almada,Infantário,4,72,Alta,OK,+351 212739530,infor@cparoquial-covapiedade.pt,38.670721,-9.167223
Jardim de Infância Popular,Agualva-Cacém,JI,36,72,Alta,OK,+351 219140288,ji.popular@escolas.min-edu.pt,38.768978,-9.300208
Jardim de Infância Nossa Senhora da Anunciação,Agualva-Cacém,JI,36,72,Alta,OK,+351 219144773,eb1.n2.agualva@escolas.min-edu.pt,38.77295,-9.296204
Creche e Jardim de Infância da Freguesia de Moscavide e Portela,,Infantário,4,72,Alta,SEM_TEL,,,38.781439,-9.10646
Jardim de Infância 1 de Marvila,,JI,36,72,Alta,SEM_TEL,,,38.752852,-9.124272
Jardim de Infância Bairro do Armador,,JI,36,72,Alta,SEM_TEL,,,38.744533,-9.120704
Centro Paroquial de Bem Estar Social de Cacilhas,,Infantário,4,72,Verificar,SEM_TEL,,,38.681888,-9.160827
Creche do Bairro do Armador,,Creche,4,36,Alta,SEM_TEL,,,38.745915,-9.121072
"Creche ""Saídos da Casca""",Lisboa,Creche,4,36,Alta,OK,+351 218945028,oriente@saidosdacasca.pt,38.785932,-9.095937
"Jardim de Infância ""O Barco do Mimo""",Queluz,JI,36,72,Alta,OK,+351 214375451,ji.obarcodomimo@escolas.min-edu.pt,38.7592,-9.273547
Centro de Promoção Social da Alta de Lisboa,Lisboa,Infantário,4,72,Verificar,OK,+351 217530700,cps.altadelisboa@scml.pt,38.780683,-9.149641
"Jardim de Infância n.º 1 de Benfica, Lisboa",LISBOA,JI,36,72,Alta,OK,+351 217 169 692,ji.n1.benfica@escolas.min-edu.pt,38.74745,-9.196849
"Creche e Jardim de Infância ""Grãos de Gente""",Oeiras,Infantário,4,72,Alta,OK_MULTI,+351 214403663;+351 914443567,direccao@graosdegente.pt,38.698674,-9.316432
Escola do Arco,Paço de Arcos,Desconhecido,4,72,Verificar,OK,+351 214542120,escoladoarco@escolas.min-edu.pt,38.699567,-9.291653
A Chupeta,Cascais,Desconhecido,4,72,Verificar,OK_MULTI,+351 214821521;+351 914849649,achupeta@sapo.pt,38.704414,-9.418724
Creche e Jardim de Infância da Liberdade (AIPICA),Almada,Infantário,4,72,Alta,OK,+351 212753244,aipica1@sapo.pt,38.675065,-9.167087
Centro Infantil da Parede,Parede,Infantário,4,72,Alta,OK_MULTI,+351 210553892;+351 961116970,,38.688222,-9.354991
Tutor T,Lisboa,Desconhecido,4,72,Verificar,OK,+351 218933080,tutortime@escolas.min-edu.pt,38.756122,-9.094797
Jardim Infantil do Laboratório Nacional de Engenharia Civil,Lisboa,JI,36,72,Alta,OK,+351 218443000,ji.lnengenhariacivil@escolas.min-edu.pt,38.759377,-9.143491
Centro Infantil Maria de Monserrate,,Infantário,4,72,Alta,SEM_TEL,,,38.743639,-9.13132
