nome,email,tipo,distrito,localidade,views,ficha
Casa Nossa Senhora do Sameiro,casasameirooleiros@gmail.com,Desconhecido,Porto,São Paio de Oleiros,0,https://creches.app/creche/casa-nossa-senhora-do-sameiro-1375602259
"Colégio Infantil ""Circo Mágico""",circomagico@sapo.pt,Privada,Porto,Grijó,0,https://creches.app/creche/colegio-infantil-circo-magico-1279071385
"Colégio Infantil ""Os Ratinhos""",info@infantarioratinhos.com,Privada,Porto,Maia,0,https://creches.app/creche/colegio-infantil-os-ratinhos-215528923
Creche Infantário de Milheirós,infantario.milheiros@misericordiadamaia.com,IPSS,Porto,Maia,0,https://creches.app/creche/creche-infantario-de-milheiros-11289627735
Creche Pré-Escolar de Catassol,infantario.catassol@misericordiadamaia.com,IPSS,Porto,Maia,0,https://creches.app/creche/creche-pre-escolar-de-catassol-1418103671
Creche Pré-Escolar de Santa Maria de Avioso,infantario.avioso@misericordiadamaia.com,IPSS,Porto,Castêlo da Maia,0,https://creches.app/creche/creche-pre-escolar-de-santa-maria-de-avioso-13479391363
Creche Pré-Escolar de Águas Santas I,infantario.aguassantas1@misericordiadamaia.com,IPSS,Porto,Águas Santas,0,https://creches.app/creche/creche-pre-escolar-de-aguas-santas-i-11289627742
Creche da Liga dos Combatentes,geral@ligacombatentes.org.pt,Privada,Porto,Porto,0,https://creches.app/creche/creche-da-liga-dos-combatentes-710522705
Creche de Santa Luzia,creche.santaluzia@misericordiadamaia.com,Desconhecido,Porto,,0,https://creches.app/creche/creche-de-santa-luzia-281848540
Creche e Pré-Escolar da Guarda,infantario.guarda@misericordiadamaia.com,IPSS,Porto,Moreira,0,https://creches.app/creche/creche-e-pre-escolar-da-guarda-11289627736
Creche e Pré-Escolar de Gondim,infantario.gondim@misericordiadamaia.com,Privada,Porto,Maia,0,https://creches.app/creche/creche-e-pre-escolar-de-gondim-1493413126
Creche/Pré-Escolar de Crestins,infantario.crestins@misericordiadamaia.com,Privada,Porto,Maia,0,https://creches.app/creche/creche-pre-escolar-de-crestins-285800059
Creche/Pré-Escolar de São Pedro Fins,infantario.spedrofins@misericordiadamaia.com,IPSS,Porto,Maia,0,https://creches.app/creche/creche-pre-escolar-de-sao-pedro-fins-151267239
Escola Global,epp@escolaglobal.org,Privada,Porto,Santa Maria da Feira,0,https://creches.app/creche/escola-global-902740702
Escola Montessori do Porto - Pólo 2,geral@montessoriporto.org,Privada,Porto,Porto,0,https://creches.app/creche/escola-montessori-do-porto-polo-2-1283025296
Jardim Infantil da Associação de Promoção Social da População do Bairro do Aleixo,info@apsp-bairroaleixo.org.pt,Privada,Porto,Porto,0,https://creches.app/creche/jardim-infantil-da-associacao-de-promocao-social-da-populacao-do-bairr-480494960
Morangos,srahora.jardim@morangos.pt,Desconhecido,Porto,Senhora da Hora,0,https://creches.app/creche/morangos-8324374341
O Amanhã da Criança - Infantário,isabel@acrianca.pt,IPSS,Porto,Águas Santas,0,https://creches.app/creche/o-amanha-da-crianca-infantario-443788678
A Caminho da Juventude,atl.geral@umutualista.pt,Desconhecido,Setúbal,Montijo,0,https://creches.app/creche/a-caminho-da-juventude-881035035
Academia das Colinas,academiacolinas@gmail.com,Desconhecido,Setúbal,Montijo,0,https://creches.app/creche/academia-das-colinas-5091531659
Caderno Aberto,cadernoaberto@gmail.com,Desconhecido,Setúbal,Montijo,0,https://creches.app/creche/caderno-aberto-1046831051
Centro Comunitário Pia I,dtcgoncalves@scma.pt,Desconhecido,Setúbal,Caparica,0,https://creches.app/creche/centro-comunitario-pia-i-5863089513
Centro Infantil O Patronato,geral@capa-amora.pt,Desconhecido,Setúbal,Amora,0,https://creches.app/creche/centro-infantil-o-patronato-5871309326
Centro Infantil Padre Baltazar,csp.costadecaparica@sapo.pt,Privada,Setúbal,Costa da Caparica,0,https://creches.app/creche/centro-infantil-padre-baltazar-1105692353
Centro Infantil Sebastião da Gama,casa.povo.azeitao@gmail.com,Privada,Setúbal,Azeitão,0,https://creches.app/creche/centro-infantil-sebastiao-da-gama-1300005697
Centro Infantil da Trafaria,informacoestrafaria@scma.pt,Desconhecido,Setúbal,Trafaria,0,https://creches.app/creche/centro-infantil-da-trafaria-5863089517
Centro Infantil do Centro Comunitário da Quinta do Conde,infantil@ccqc.pt,Privada,Setúbal,Quinta do Conde,0,https://creches.app/creche/centro-infantil-do-centro-comunitario-da-quinta-do-conde-1300005695
Centro Social Paroquial Padre Ricardo Gameiro - S. Simão,infor@cparoquial-covapiedade.pt,IPSS,Setúbal,Almada,0,https://creches.app/creche/centro-social-paroquial-padre-ricardo-gameiro-s-simao-5863089512
Colégio Infantil Imaginário,imaginario.colegio@gmail.com,Privada,Setúbal,Corroios,0,https://creches.app/creche/colegio-infantil-imaginario-144156740
Creche - Jardim de Infância 25 de Abril (AIPICA),aipica1@sapo.pt,Desconhecido,Setúbal,Almada,0,https://creches.app/creche/creche-jardim-de-infancia-25-de-abril-aipica-5863089506
Creche de São Gregório,geral_escolaberta@hotmail.com,Privada,Setúbal,Beja,0,https://creches.app/creche/creche-de-sao-gregorio-11974118499
Externato A Casinha Mágica,externatoacasinhamagica@hotmail.com,Desconhecido,Setúbal,Fernão Ferro,0,https://creches.app/creche/externato-a-casinha-magica-5871309340
Externato Infantil Dó-Ré-Mi,externato.doremi@sapo.pt,Desconhecido,Setúbal,Corroios,0,https://creches.app/creche/externato-infantil-do-re-mi-5871309342
Externato Infantil O Trevo,anammachadosantos@hotmail.com,Desconhecido,Setúbal,Corroios,0,https://creches.app/creche/externato-infantil-o-trevo-5871309344
Externato O Palhacinho Vaidoso,geral@palhacinhovaidoso.pt,Desconhecido,Setúbal,Sobreda,0,https://creches.app/creche/externato-o-palhacinho-vaidoso-963783165
"Infantário ""Os Catitas""",catitas@catitas.pt,Privada,Setúbal,Quinta do Conde,0,https://creches.app/creche/infantario-os-catitas-1059391320
Infantário A Casinha Azul,infantariocasazul@gmail.com,Desconhecido,Setúbal,Aldeia de Paio Pires,0,https://creches.app/creche/infantario-a-casinha-azul-5871309359
"Jardim Infantil ""O Avião""",aviao@adasd.pt,IPSS,Setúbal,Beja,0,https://creches.app/creche/jardim-infantil-o-aviao-11974118500
Jardim Infantil C. Assist. Paroquial O Caracol,secretaria@capa-amora.pt,IPSS,Setúbal,Seixal,0,https://creches.app/creche/jardim-infantil-c-assist-paroquial-o-caracol-141138308
Jardim Infantil C. Paroq. Bem-Estar Social Corroios,cpsfamilia@gmail.com,Desconhecido,Setúbal,Corroios,0,https://creches.app/creche/jardim-infantil-c-paroq-bem-estar-social-corroios-5871309327
Jardim Infantil Centro Paroquial Bem Estar Social de Cacilhas,cpcacilhas@sapo.pt,IPSS,Setúbal,Almada,0,https://creches.app/creche/jardim-infantil-centro-paroquial-bem-estar-social-de-cacilhas-5863089518
Jardim Infantil Ninho 3,ana.pinto@estradasdeportugal.pt,Privada,Setúbal,Almada,0,https://creches.app/creche/jardim-infantil-ninho-3-5863089520
Jardim Infantil O Picapau,picapau-arrentela@net.novis.pt,Desconhecido,Setúbal,Seixal,0,https://creches.app/creche/jardim-infantil-o-picapau-440375051
Jardim Infantil Os Dois Patinhos,inscricoes.cmel@gmail.com,Privada,Setúbal,Almada,0,https://creches.app/creche/jardim-infantil-os-dois-patinhos-345704200
Jardim Infantil Palmo e Meio,ana.gomes91@hotmail.com,Desconhecido,Setúbal,Corroios,0,https://creches.app/creche/jardim-infantil-palmo-e-meio-5871309365
Jardim Infantil Viva Kids,vivakids@outlook.pt,Privada,Setúbal,Setúbal,0,https://creches.app/creche/jardim-infantil-viva-kids-145511042
Jardim Infantil do Centro Paroquial de Almada,geral@centroparoquial-almada.pt,Privada,Setúbal,Almada,0,https://creches.app/creche/jardim-infantil-do-centro-paroquial-de-almada-5863089515
Jardim Infantil e Creche Popular do Monte da Caparica,creche.caparica@sapo.pt,Desconhecido,Setúbal,Monte de Caparica,0,https://creches.app/creche/jardim-infantil-e-creche-popular-do-monte-da-caparica-286261688
"Jardim de Infância ""O Girassol""",secretariacparoquial@gmail.com,Privada,Setúbal,Montijo,0,https://creches.app/creche/jardim-de-infancia-o-girassol-5079796791
"Jardim de Infância ""Parque dos Infantes""",geral@parquedosinfantes.pt,Privada,Setúbal,Palhais,0,https://creches.app/creche/jardim-de-infancia-parque-dos-infantes-1300609222
Os Magos - Academia,osmagos.academia@gmail.com,Desconhecido,Setúbal,Montijo,0,https://creches.app/creche/os-magos-academia-5077402361
Bogalha,geral@bogalha.pt,Desconhecido,Braga,Braga,0,https://creches.app/creche/bogalha-738676776
Centro Infantil A Gaivota,geral@assinjepe.com,IPSS,Braga,Esposende,0,https://creches.app/creche/centro-infantil-a-gaivota-122271657
Centro Infantil do Terreiro,centro.terreiro@hotmail.com,Privada,Braga,Borba de Godim,0,https://creches.app/creche/centro-infantil-do-terreiro-11954714310
Creche e Jardim de Infância Albano Coelho Lima,geral@crecheejardimacoelholima.com,Desconhecido,Braga,,0,https://creches.app/creche/creche-e-jardim-de-infancia-albano-coelho-lima-334481034
Creche e Jardim de Infância do Centro Social e Paroquial Padre António Mendonça,centrosocialpam@sapo.pt,Privada,Braga,Airães,0,https://creches.app/creche/creche-e-jardim-de-infancia-do-centro-social-e-paroquial-padre-antonio-11954730322
Centro de Infância Arte e Qualidade,geral@ciaq.ua.pt,Desconhecido,Aveiro,Aveiro,0,https://creches.app/creche/centro-de-infancia-arte-e-qualidade-506659701
Centro de Infância da Barra,barra@casci.pt,Desconhecido,Aveiro,Gafanha da Nazaré,0,https://creches.app/creche/centro-de-infancia-da-barra-168735565
Jardim Infantil da Obra Social de São Martinho da Gândara,jiossmgandara@min-educ.pt,Privada,Aveiro,São Martinho da Gândara,0,https://creches.app/creche/jardim-infantil-da-obra-social-de-sao-martinho-da-gandara-4628553451
Jardim Infantil da Santa Casa da Misericórdia de Oliveira de Azeméis,contab.misericordia@mail.telepac.pt,Privada,Aveiro,Oliveira de Azeméis,0,https://creches.app/creche/jardim-infantil-da-santa-casa-da-misericordia-de-oliveira-de-azemeis-12068906151
Jardim Infantil do Centro Social e Paroquial de São Pedro da Palhaça,direccao@csp-palhaca.pt,Privada,Aveiro,Palhaça,0,https://creches.app/creche/jardim-infantil-do-centro-social-e-paroquial-de-sao-pedro-da-palhaca-12068906130
Associação Jardim Infantil de Ferrel,infantarioferrel@sapo.pt,IPSS,Leiria,Ferrel,0,https://creches.app/creche/associacao-jardim-infantil-de-ferrel-479160473
Auxilio Maternal,auxmatfunchal@edu.madeira.gov.pt,Desconhecido,Madeira,Funchal,0,https://creches.app/creche/auxilio-maternal-382880381
Centro Comunitário Nossa Senhora da Boa Viagem,sraboaviagem@caritascoimbra.pt,Desconhecido,Coimbra,,0,https://creches.app/creche/centro-comunitario-nossa-senhora-da-boa-viagem-687847944
"Centro Infantil ""Os Vivaços""",geral@fundacao-algarvia.pt,Privada,Faro,Olhão,0,https://creches.app/creche/centro-infantil-os-vivacos-6765196188
Centro Infantil António Calçada,geral@misericordiasaobras.pt,IPSS,Faro,São Brás de Alportel,0,https://creches.app/creche/centro-infantil-antonio-calcada-1293294560
Centro Infantil Maria Eugénia de Canavial,lactario@netmadeira.com,Privada,Madeira,Funchal,0,https://creches.app/creche/centro-infantil-maria-eugenia-de-canavial-11889778067
Centro Infantil de Santa Maria de Leuca,centromarialeuca@sapo.pt,Privada,Leiria,Fátima,0,https://creches.app/creche/centro-infantil-de-santa-maria-de-leuca-1291878632
Centro Social Interparoquial de Abrantes,csia.pre.creche.cat@gmail.com,IPSS,Santarém,Abrantes,0,https://creches.app/creche/centro-social-interparoquial-de-abrantes-369738994
Colégio Internacional Petit Enfant,eborlandia@gmail.com,Privada,Évora,ÉVORA,0,https://creches.app/creche/colegio-internacional-petit-enfant-1291858295
Colégio da Curia,jardimane@sapo.pt,Desconhecido,Coimbra,,0,https://creches.app/creche/colegio-da-curia-1290310831
"Creche ""Os Piratinhas""",dvrsantoantonio.creche@cruzvermelha.org.pt,IPSS,Faro,,0,https://creches.app/creche/creche-os-piratinhas-1273203162
"Creche ""Os Priolinhos""",crecheospriolinhos@sapo.pt,Desconhecido,Açores,Nordeste,0,https://creches.app/creche/creche-os-priolinhos-5267859628
Creche Padre Tobias do Porto Alto,geral@cbespadretobias.pt,IPSS,Santarém,Samora Correia,0,https://creches.app/creche/creche-padre-tobias-do-porto-alto-1318497264
Creche de São José,creche@lardesaojose.pt,Privada,Leiria,Torres Vedras,0,https://creches.app/creche/creche-de-sao-jose-3008430795
Creche do Paço,condesobral@scmalm.pt,Privada,Santarém,Almeirim,0,https://creches.app/creche/creche-do-paco-1291858267
Creche do Povo,geral@crechedopovo.pt,Desconhecido,Leiria,Torres Vedras,0,https://creches.app/creche/creche-do-povo-1355960836
Creche e Infantário ENCOPROF,infantario.encoprof@gmail.com,Privada,Santarém,Entroncamento,0,https://creches.app/creche/creche-e-infantario-encoprof-1292432421
"Creche e Jardim de Infância ""Lugar dos Príncipes""",lugardosprincipes@gmail.com,Privada,Leiria,Leiria,0,https://creches.app/creche/creche-e-jardim-de-infancia-lugar-dos-principes-1291060282
Creche e Jardim de Infância da Azervadinha,geral@cm-coruche.pt,Privada,Santarém,Azervadinha,0,https://creches.app/creche/creche-e-jardim-de-infancia-da-azervadinha-1291858280
Creche e Jardim de Infância do Centro Educativo e de Solidariedade Social da Fonte Boa,ces.fonteboa@gmail.com,Privada,Santarém,Vale de Santarém,0,https://creches.app/creche/creche-e-jardim-de-infancia-do-centro-educativo-e-de-solidariedade-soc-11981739365
Grão de Ervilha,graodervilha@gmail.com,Desconhecido,Leiria,,0,https://creches.app/creche/grao-de-ervilha-720253385
Infantinhos da Quinta do Bosque,infantinhosquintadobosque@fundacaovisabeir.com,Privada,Guarda,Viseu,0,https://creches.app/creche/infantinhos-da-quinta-do-bosque-570763241
Infantinhos da Vilabeira,infantinhosvilabeira@fundacaovisabeira.com,Privada,Guarda,Viseu,0,https://creches.app/creche/infantinhos-da-vilabeira-1289753556
Infantário O Barquinho,inf.obarquinho@madeira-edu.pt,Desconhecido,Madeira,,0,https://creches.app/creche/infantario-o-barquinho-1767874485
Infantário da Santa Casa da Misericórdia,scm.trancoso@sapo.pt,IPSS,Guarda,Trancoso,0,https://creches.app/creche/infantario-da-santa-casa-da-misericordia-645239210
Infantário de Cadafais,centroinfantil@scmalenquer.pt,IPSS,Leiria,Cadafais,0,https://creches.app/creche/infantario-de-cadafais-1292490270
Infantário do Livramento,adm.crechedolivramento@hotmail.com,Desconhecido,Madeira,Funchal,0,https://creches.app/creche/infantario-do-livramento-3872680953
"Infantário e Jardim Infantil "" O Pintinhas""",a.pintinhas@hotmail.com,Privada,Vila Real,Lamego,0,https://creches.app/creche/infantario-e-jardim-infantil-o-pintinhas-11959252990
"Jardim Infantil ""A Escolinha""",aescolinhaleiria@gmail.com,Privada,Leiria,Leiria,0,https://creches.app/creche/jardim-infantil-a-escolinha-793104598
Jardim Infantil do Centro Social Nossa Senhora das Dores,geral@csnsd.pt,Privada,Faro,Santa Catarina da Fonte do Bispo,0,https://creches.app/creche/jardim-infantil-do-centro-social-nossa-senhora-das-dores-11989084494
Jardim Infantil do Lar da Criança de Portimão,geral@lardacrianca.com,IPSS,Faro,Portimão,0,https://creches.app/creche/jardim-infantil-do-lar-da-crianca-de-portimao-1292739907
Jardim de Infância do Centro de Bem-Estar Infantil de Alcobaça,cbei.alcobaca@gmail.com,Privada,Leiria,Alcobaça,0,https://creches.app/creche/jardim-de-infancia-do-centro-de-bem-estar-infantil-de-alcobaca-1292220139
Jardim-Escola João de Deus,chaves@escolasjoaodeus.pt,Desconhecido,Vila Real,Chaves,0,https://creches.app/creche/jardim-escola-joao-de-deus-628310788
Kid'Oh,geral@kidoh.pt,Privada,Faro,Quarteira,0,https://creches.app/creche/kid-oh-1273355847
